,id_jogo,Jogadora,#,set_1,set_2,set_3,set_4,set_5,Pontos_Tot,BP,V-P,Saques_Tot,Saques_Err,Saques_Ace,Rec_Tot,Rec_Err,Rec_%Pos,Rec_%_Exc.,At_Tot,At_Err,At_Blk,At_Exc.,% Exc. ,Block_Pts
102,398,BRUNA  COSTA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
103,398,BRUNA  HONORIO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
104,398,CAROLINE  GATTAZ,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
105,398,GEORGIA CATTANI (L),,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
106,398,GUIMARAES GABRIELA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
107,398,LANA  CONCEIÇÃO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
108,398,LEIA  SILVA (L),,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
109,398,MACRIS  CARNEIRO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
110,398,MARA  LEÃO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
111,398,MARIA LUISA DE OIVEIRA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
112,398,MAYANY  SOUZA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
113,398,ZILIO PEREIRA NATÁLIA ,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
114,399,GABRIELA  PONTES,1,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
115,399,SEGOVIA DAYANA,3,3,4,6,4,,15,4,8,11,4,-,-,-,.,.,29,2,1,15,52%,-
116,399,KARINA  BARBOSA,4,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
117,399,FERNANDA ISIS DA SILVA,6,2,3,5,3,,11,5,4,15,3,-,1,1,0%,0%,17,2,1,7,41%,4
118,399,FERNANDA TOMÉ,8,1,2,4,2,,14,7,3,15,2,1,40,2,70%,55%,42,3,4,11,26%,2
119,399,ASSIS FLAVIA,9,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
120,399,DAYSE FIGUEIREDO,10,5,6,2,6,,7,2,5,16,1,1,-,-,.,.,13,-,1,5,38%,1
121,399,ANDRESSA KRACHEFSKI (L),11,*,*,*,*,,-,-,-1,-,-,-,17,1,59%,47%,-,-,-,-,.,-
122,399,ANA FLAVIA GALVÃO,13,*,,*,,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
123,399,SONALY   CIDRÃO ,14,4,5,1,5,,10,1,6,11,1,-,26,1,58%,31%,26,1,1,10,38%,-
124,399,MARIA ALEJANDRA VERHELEST,15,6,1,3,1,,2,2,2,16,-,2,1,-,100%,0%,1,-,-,-,0%,-
125,399,PAULINA  DE SOUZA,17,*,,*,*,,-,-,-,2,-,-,5,-,60%,60%,-,-,-,-,.,-
126,399,KISY  CESARIO,19,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
127,399,MARIA EDUARDA OLIVEIRA,20,*,*,*,*,,2,-,2,-,-,-,-,-,.,.,6,-,-,2,33%,-
128,399,WALEWSKA  OLIVEIRA,,3,2,3,2,,18,6,13,23,3,2,1,-,100%,100%,22,1,1,13,59%,3
129,399,ALBUQUERQUE CAROLINA,,*,,*,,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
130,399,PEQUENO PAULA,,,*,,,,1,1,1,1,-,-,-,-,.,.,2,-,-,1,50%,-
131,399,LEYVA ANGELA,,5,4,5,4,,21,9,14,11,1,-,26,2,42%,31%,38,1,3,20,53%,1
132,399,ERICA  MOTA (L),,,,,*,,1,1,1,-,-,-,-,-,.,.,1,-,-,1,100%,-
133,399,DOMINGAS  ARAUJO ,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
134,399,CLAUDIA  BUENO,,1,6,1,6,,-,-,-2,17,2,-,-,-,.,.,-,-,-,-,.,-
135,399,VIVIANE BRAUN,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
136,399,LORENNE  TEIXEIRA,,*,,*,*,,-,-,-1,-,-,-,-,-,.,.,2,1,-,-,0%,-
137,399,COSTA MARIANA,,2,1,2,1,,14,5,6,18,1,1,31,2,58%,35%,25,5,-,13,52%,-
138,399,NATALIA MARTINS NATALIA,,,,,*,,1,1,1,3,-,-,1,-,100%,0%,1,-,-,1,100%,-
139,399,CRUZ NATASHA,,6,5,6,5,,7,5,5,11,1,2,-,-,.,.,8,-,1,3,38%,2
140,399,CAMILA  BRAIT (L),,*,*,*,*,,-,-,-,-,-,-,17,-,71%,53%,-,-,-,-,.,-
141,399,HOOKER DESTINY,,4,3,4,3,,15,7,8,13,-,1,-,-,.,.,34,5,2,13,38%,1
142,402,CLAUDINO FABIANA,1,6,2,6,1,6,9,2,5,11,2,-,-,-,.,.,17,2,-,6,35%,3
143,402,LLOYD CARLI ELLEN,3,1,3,,,*,1,1,1,7,-,1,-,-,.,.,2,-,-,-,0%,-
144,402,ELLEN  BRAGA,7,*,*,,,,4,1,3,2,-,-,2,-,100%,50%,5,-,1,3,60%,1
145,402,BORGO PAULA,8,*,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
146,402,MONTIBELLER ROSAMARIA,9,5,,,,*,2,-,-,1,-,-,5,-,40%,20%,6,1,1,2,33%,-
147,402,MICHELLE PAVAO,10,*,1,5,6,5,12,8,11,9,-,-,30,1,50%,37%,22,-,-,10,45%,2
148,402,NICOLE  FAWCETT,11,4,6,4,5,4,22,13,15,15,2,2,-,-,.,.,44,2,3,17,39%,3
149,402,LAIS  VASQUEZ,12,,,,,*,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
150,402,FRANCYNNE  JACINTHO,13,,*,3,4,3,11,5,10,16,1,1,-,-,.,.,13,-,-,7,54%,3
151,402,ANANDA  MARINHO,14,*,*,1,2,1,2,2,2,22,-,2,-,-,.,.,-,-,-,-,.,-
152,402,ANA CAROLINA SILVA ,15,3,5,,,,-,-,-2,3,1,-,1,-,0%,0%,3,1,-,-,0%,-
153,402,FERNANDA  GARAY,16,2,4,2,3,2,16,6,7,19,-,1,23,1,48%,35%,42,5,3,14,33%,1
154,402,SUELEN  PINTO (L),17,*,*,*,*,*,-,-,-1,-,-,-,24,1,42%,29%,-,-,-,-,.,-
155,402,COSTA BRUNA CAIXETA,20,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
156,402,BENTO  ELIS ,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
157,402,TALIA  COSTA,,,*,*,,*,-,-,-2,4,1,-,4,-,0%,0%,2,1,-,-,0%,-
158,402,MARIANA  AQUINO,,3,3,3,3,2,7,3,3,15,-,-,-,-,.,.,18,2,2,7,39%,-
159,402,ANA  CAMARGO (L),,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
160,402,ANA CRISTINA VILELA PORTO ,,1,1,1,1,6,1,1,-,24,1,1,-,-,.,.,1,-,-,-,0%,-
161,402,VALESKA  MENEZES,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
162,402,SIQUEIRA  ALINE WIME,,,,*,,*,2,-,1,3,-,-,1,1,0%,0%,5,-,-,2,40%,-
163,402,VIVIANE  GOES,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
164,402,LASCANO JULIETA,,6,6,6,6,5,8,2,1,12,2,-,-,-,.,.,17,3,2,7,41%,1
165,402,SABRINA  MACHADO,,4,4,4,4,3,27,13,14,10,4,-,-,-,.,.,51,4,5,22,43%,5
166,402,GALON MARIANA,,,,*,,*,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
167,402,PRISCILA SOUZA,,2,2,2,2,1,22,8,14,16,-,2,32,4,44%,16%,43,3,1,18,42%,2
168,402,ISABELA PAQUIARDI,,5,5,5,5,4,7,1,1,8,-,-,33,1,48%,15%,28,2,3,7,25%,-
169,402,JULIANA PAES JULIANA (L),,*,*,*,*,*,-,-,-1,-,-,-,30,1,53%,30%,-,-,-,-,.,-
170,403,MILKA MARCILIA ,1,6,5,5,5,,10,3,7,12,2,-,1,-,0%,0%,16,1,-,8,50%,2
171,403,NATALIA ARAUJO  (L),2,*,*,*,*,,-,-,-1,-,-,-,13,1,92%,69%,-,-,-,-,.,-
172,403,DANIELLE LINS ,3,1,6,6,6,,2,2,1,12,-,-,-,-,.,.,3,1,-,-,0%,2
173,403,MAIRA  CIPRIANO CLARO ,4,2,1,1,1,,6,2,-2,12,3,-,12,1,67%,50%,24,1,3,6,25%,-
174,403,JACKELINE  SANTOS,5,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
175,403,THAISA  DAHER DE MENEZES,6,3,,,,,4,2,4,3,-,1,-,-,.,.,3,-,-,2,67%,1
176,403,LAYS  FREITAS,7,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
177,403,VIVIAN  PELLEGRINO,9,*,2,2,2,,6,3,3,18,3,2,-,-,.,.,4,-,-,3,75%,1
178,403,TAINARA SANTOS ,10,,*,,*,,1,-,-,-,-,-,2,-,50%,50%,3,-,1,1,33%,-
179,403,AMANDA  FRANCISCO,13,5,4,4,4,,9,4,7,15,-,1,42,1,71%,52%,17,1,-,8,47%,-
180,403,SARA SILVA,14,*,*,*,*,,1,-,-,3,1,-,-,-,.,.,4,-,-,1,25%,-
181,403,JUMA   SILVA,16,*,*,*,*,,-,-,-1,3,-,-,-,-,.,.,2,-,1,-,0%,-
182,403,SKOWRONSKA KATARZYNA,17,4,3,3,3,,28,10,18,14,1,1,-,-,.,.,47,5,4,26,55%,1
183,403,RODRIGUEZ ELINA,19,,,*,,,-,-,-2,1,-,-,4,2,25%,0%,-,-,-,-,.,-
184,403,ROBERTA SILVA ROBERTA,,5,1,2,5,,8,4,-,12,3,1,-,-,.,.,15,5,-,5,33%,2
185,403,FRANCINE TOMAZONI,,,*,,*,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-
186,403,AMANDA  RODRIGUES,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
187,403,LORENA VIEZEL,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
188,403,DANIELSKI  NATALIA ,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
189,403,ALINE SILVA ALINE,,,*,*,*,,-,-,-,6,-,-,-,-,.,.,-,-,-,-,.,-
190,403,LORRAYNA MARYS,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
191,403,PAYNE  KELSIE ,,,*,*,*,,2,2,2,2,-,1,-,-,.,.,9,-,-,-,0%,1
192,403,LYARA BATISTA,,6,2,3,6,,5,4,5,16,-,2,-,-,.,.,3,-,-,1,33%,2
193,403,MARI CASSEMIRO,,3,5,6,3,,8,4,-1,14,3,-,24,2,54%,38%,26,3,1,7,27%,1
194,403,CLARISSE PEIXOTO,,1,3,4,1,,12,3,7,10,-,-,10,1,50%,20%,33,2,2,12,36%,-
195,403,ÁLVAREZ  HERRERA ,,4,6,1,4,,20,5,8,13,2,1,7,1,57%,14%,42,5,4,18,43%,1
196,403,LETICIA HEMELLY (L),,,*,,*,,-,-,-1,-,-,-,-,-,.,.,2,1,-,-,0%,-
197,403,JULIANA PERDIGÃO (L),,*,*,*,*,,-,-,-1,-,-,-,42,1,71%,48%,-,-,-,-,.,-
198,403,CAMILA BARBOSA,,2,4,5,2,,9,2,5,7,3,-,-,-,.,.,16,1,-,7,44%,2
199,403,PIETRA JUKOSKI PIETRA,,*,*,*,,,-,-,-1,5,1,-,-,-,.,.,-,-,-,-,.,-
200,404,LARA NOBRE,1,6,6,6,5,,11,6,9,13,2,1,-,-,.,.,9,-,-,7,78%,3
201,404,GIOVANA GASPARINI,2,1,1,1,6,,2,1,1,12,1,1,-,-,.,.,1,-,-,1,100%,-
202,404,PAMELA SANABIO,3,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
203,404,MARCELLA AMARAL,4,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
204,404,PRISCILA DAROIT,5,5,5,5,4,,20,10,14,10,1,-,19,1,26%,26%,35,2,2,15,43%,5
205,404,LARISSA GONGRA,6,*,*,*,,,7,2,6,11,-,-,-,-,.,.,6,-,1,3,50%,4
206,404,SILVA JOYCE,7,4,4,4,3,,18,6,9,7,1,-,-,-,.,.,43,5,3,18,42%,-
207,404,ARIANNE TOLENTINO,8,*,*,*,,,-,-,-2,-,-,-,-,-,.,.,4,2,-,-,0%,-
208,404,VIVIAN  JORGE,9,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
209,404,SASSA GONZAGA (L),10,*,*,*,*,,-,-,-1,-,-,-,19,1,53%,37%,-,-,-,-,.,-
210,404,THAIS SOUZA,11,2,2,2,1,,6,2,-2,19,2,-,28,2,36%,18%,19,3,1,5,26%,1
211,404,CAROL WON HELD,12,,*,,,,-,-,-,-,-,-,2,-,50%,50%,-,-,-,-,.,-
212,404,CARLA SANTOS,13,,,,*,,1,-,1,-,-,-,1,-,0%,0%,1,-,-,1,100%,-
213,404,DUTRA GABRIELA (L),14,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
214,404,GIOVANNA FANT,16,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
215,404,STEPHANY CARVALHO (L),17,*,*,*,*,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
216,404,LETICIA HAGE,18,3,3,3,2,,2,1,2,7,-,-,-,-,.,.,5,-,-,2,40%,-
217,404,JULIANA CARRIJO,19,*,*,*,*,,-,-,-,8,-,-,-,-,.,.,-,-,-,-,.,-
218,404,JULIA MOURA,20,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
219,404,MAGGIONI ROSANE ,,*,,*,*,,1,-,1,-,-,-,-,-,.,.,-,-,-,-,.,1
220,404,ODILON  JULIANA  (L),,*,*,,*,,-,-,-1,1,-,-,7,1,0%,0%,1,-,-,-,0%,-
221,404,FERREIRA LAIZA,,*,*,*,*,,-,-,-1,2,-,-,-,-,.,.,2,1,-,-,0%,-
222,404,ARIELE FERREIRA ,,,5,4,5,,10,3,4,5,-,-,15,-,47%,40%,29,4,2,10,34%,-
223,404,PRISCILA  HELDES,,2,1,6,1,,1,1,-,12,1,1,1,-,0%,0%,-,-,-,-,.,-
224,404,LOFF RAQUEL,,,,*,6,,2,1,1,4,1,1,-,-,.,.,2,-,-,-,0%,1
225,404,IVNA COLOMBO IVNA,,3,2,1,2,,10,3,2,10,-,-,42,-,43%,26%,30,4,4,10,33%,-
226,404,MOHR PAULA,,6,,*,,,2,-,-1,3,-,-,8,-,25%,0%,7,3,-,2,29%,-
227,404,ARIANE HELENA,,5,4,3,4,,12,5,2,15,1,3,-,-,.,.,39,5,4,8,21%,1
228,404,ADRIANI  VILVERT ,,1,6,5,*,,5,1,3,9,-,-,-,-,.,.,8,-,2,5,63%,-
229,404,GUTH ANA PÁULA ,,4,3,2,3,,9,5,6,15,1,2,-,-,.,.,8,1,1,3,38%,4
230,404,PAPINI  SILVANA  (L),,*,*,*,*,,-,-,-,-,-,-,6,-,50%,33%,-,-,-,-,.,-
