id_jogo,Jogadora,#,set_1,set_2,set_3,set_4,set_5,Pontos_Tot,BP,V-P,Saques_Tot,Saques_Err,Saques_Ace,Rec_Tot,Rec_Err,Rec_%Pos,Rec_%_Exc.,At_Tot,At_Err,At_Blk,At_Exc.,% Exc. ,Block_Pts,time
395,TAINARA SANTOS ,,*,*,*,,,2,2,-,2,-,-,2,1,50%,50%,4,-,1,1,25%,1,HINODE BARUERI
395,AMANDA  FRANCISCO,,5,4,5,,,7,3,1,13,-,1,29,2,55%,21%,17,1,3,4,24%,2,HINODE BARUERI
395,SARA SILVA,,*,*,*,,,3,-,-1,1,-,-,-,-,.,.,9,3,1,3,33%,-,HINODE BARUERI
395,JUMA   SILVA,,*,,,,,1,1,1,2,-,1,-,-,.,.,-,-,-,-,.,-,HINODE BARUERI
395,KATARZYNA SKOWRONSKA,,4,3,4,,,11,3,3,5,1,-,-,-,.,.,22,5,2,10,45%,1,HINODE BARUERI
395,ELINA RODRIGUEZ,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,HINODE BARUERI
396,ROBERTA SILVA ROBERTA,1,5,5,5,5,,8,5,5,14,-,2,1,-,100%,100%,10,1,2,4,40%,2,ESPORTE CLUBE PINHEIROS
396,FRANCINE TOMAZONI,2,*,*,*,,,-,-,-1,6,1,-,-,-,.,.,-,-,-,-,.,-,ESPORTE CLUBE PINHEIROS
396,AMANDA  RODRIGUES,3,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,ESPORTE CLUBE PINHEIROS
396,LORENA VIEZEL,4,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,ESPORTE CLUBE PINHEIROS
396,NATALIA DANIELSKI,5,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,ESPORTE CLUBE PINHEIROS
396,ALINE SILVA ALINE,6,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,ESPORTE CLUBE PINHEIROS
396,LORRAYNA MARYS,7,,,*,,,-,-,-,-,-,-,-,-,.,.,1,-,-,-,0%,-,ESPORTE CLUBE PINHEIROS
396,PAYNE  KELSIE ,8,*,6,6,6,,12,4,8,6,-,1,-,-,.,.,25,2,2,7,28%,4,ESPORTE CLUBE PINHEIROS
396,LYARA BATISTA,9,6,3,3,3,,4,1,4,12,-,-,-,-,.,.,3,-,-,3,100%,1,ESPORTE CLUBE PINHEIROS
396,MARI CASSEMIRO,10,3,,*,4,,9,6,4,10,1,-,21,-,71%,52%,15,3,1,8,53%,1,ESPORTE CLUBE PINHEIROS
396,CLARISSE PEIXOTO,11,1,4,4,*,,7,4,1,7,2,1,10,1,60%,50%,19,1,2,4,21%,2,ESPORTE CLUBE PINHEIROS
396,ÁLVAREZ  HERRERA ,12,4,1,1,1,,16,7,8,16,2,-,22,2,68%,50%,32,2,2,15,47%,1,ESPORTE CLUBE PINHEIROS
396,LETICIA HEMELLY (L),13,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,ESPORTE CLUBE PINHEIROS
396,JULIANA PERDIGÃO (L),14,*,*,*,*,,-,-,-2,-,-,-,26,2,81%,62%,-,-,-,-,.,-,ESPORTE CLUBE PINHEIROS
396,CAMILA BARBOSA,15,2,2,2,2,,15,3,12,20,3,-,1,-,100%,100%,22,-,-,14,64%,1,ESPORTE CLUBE PINHEIROS
396,PIETRA JUKOSKI PIETRA,16,*,*,,*,,-,-,-,3,-,-,-,-,.,.,-,-,-,-,.,-,ESPORTE CLUBE PINHEIROS
396,LARA NOBRE,,6,6,5,6,,15,4,14,13,-,-,-,-,.,.,16,-,1,12,75%,3,FLUMINENSE F.C.
396,GIOVANA GASPARINI,,1,1,6,1,,1,1,-,9,1,1,-,-,.,.,-,-,-,-,.,-,FLUMINENSE F.C.
396,PAMELA SANABIO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,FLUMINENSE F.C.
396,MARCELLA AMARAL,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,FLUMINENSE F.C.
396,PRISCILA DAROIT,,5,5,4,5,,15,5,3,11,3,-,12,-,67%,42%,36,7,2,13,36%,2,FLUMINENSE F.C.
396,LARISSA GONGRA,,*,*,*,*,,1,-,-1,7,1,-,-,-,.,.,2,-,1,1,50%,-,FLUMINENSE F.C.
396,JOYCE SILVA,,4,4,3,4,,24,6,21,14,1,1,-,-,.,.,43,-,2,20,47%,3,FLUMINENSE F.C.
396,ARIANNE TOLENTINO,,,*,*,*,,3,1,2,1,-,-,-,-,.,.,6,1,-,3,50%,-,FLUMINENSE F.C.
396,VIVIAN  JORGE,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,FLUMINENSE F.C.
396,SASSA GONZAGA (L),,*,*,*,*,,-,-,-2,-,-,-,29,2,69%,38%,-,-,-,-,.,-,FLUMINENSE F.C.
396,THAIS SOUZA,,2,2,,*,,3,3,-6,16,4,2,19,-,74%,42%,8,1,4,1,13%,-,FLUMINENSE F.C.
396,CAROL WON HELD,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,FLUMINENSE F.C.
396,CARLA SANTOS,,,*,1,2,,4,2,-,8,1,1,24,2,42%,17%,6,-,1,3,50%,-,FLUMINENSE F.C.
396,GABRIELA DUTRA (L),,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,FLUMINENSE F.C.
396,GIOVANNA FANT,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,FLUMINENSE F.C.
396,STEPHANY CARVALHO (L),,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,FLUMINENSE F.C.
396,LETICIA HAGE,,3,3,2,3,,3,1,-,12,1,-,1,-,0%,0%,5,2,-,2,40%,1,FLUMINENSE F.C.
396,JULIANA CARRIJO,,,*,*,*,,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-,FLUMINENSE F.C.
396,JULIA MOURA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,FLUMINENSE F.C.
397,ROSANE MAGGIONI,1,6,*,*,,,1,-,1,3,-,-,-,-,.,.,1,-,-,1,100%,-,VOLEI BALNEARIO CAMBORIU
397,JULIANA ODILON,3,,,*,,,-,-,-,1,-,-,2,-,50%,0%,1,-,-,-,0%,-,VOLEI BALNEARIO CAMBORIU
397,LAIZA FERREIRA,5,*,*,*,,,1,-,-,-,-,-,-,-,.,.,5,-,1,1,20%,-,VOLEI BALNEARIO CAMBORIU
397,ARIELE FERREIRA ,8,4,,*,,,3,2,-2,1,1,-,11,2,55%,18%,7,-,2,2,29%,1,VOLEI BALNEARIO CAMBORIU
397,PRISCILA  HELDES,9,*,1,2,,,-,-,-,8,-,-,-,-,.,.,1,-,-,-,0%,-,VOLEI BALNEARIO CAMBORIU
397,RAQUEL LOFF,10,*,,*,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,VOLEI BALNEARIO CAMBORIU
397,IVNA COLOMBO IVNA,11,1,2,3,,,7,2,3,7,-,-,27,1,52%,19%,17,1,2,7,41%,-,VOLEI BALNEARIO CAMBORIU
397,PAULA MOHR,12,*,5,6,,,9,3,1,9,2,2,21,2,33%,24%,20,2,2,7,35%,-,VOLEI BALNEARIO CAMBORIU
397,ARIANE HELENA,13,3,4,5,,,11,3,2,8,2,1,-,-,.,.,23,2,5,8,35%,2,VOLEI BALNEARIO CAMBORIU
397,ADRIANI  VILVERT ,15,5,6,1,,,4,1,2,6,1,-,-,-,.,.,7,1,-,4,57%,-,VOLEI BALNEARIO CAMBORIU
397,GUTH ANA PÁULA ,17,2,3,4,,,1,1,-,6,1,-,-,-,.,.,2,-,-,-,0%,1,VOLEI BALNEARIO CAMBORIU
397,SILVANA PAPINI (L),18,*,*,*,,,-,-,-,-,-,-,6,-,67%,17%,-,-,-,-,.,-,VOLEI BALNEARIO CAMBORIU
397,CLAUDINO FABIANA,,6,6,6,,,12,9,12,12,-,3,-,-,.,.,8,-,-,5,63%,4,DENTIL/PRAIA CLUBE
397,LLOYD CARLI ELLEN,,1,1,1,,,2,1,-,11,2,-,1,-,0%,0%,2,-,-,2,100%,-,DENTIL/PRAIA CLUBE
397,ELLEN  BRAGA,,,*,2,,,5,3,4,7,-,-,6,1,33%,0%,8,-,-,5,63%,-,DENTIL/PRAIA CLUBE
397,BORGO PAULA,,*,,,,,1,-,1,-,-,-,-,-,.,.,1,-,-,1,100%,-,DENTIL/PRAIA CLUBE
397,ROSAMARIA MONTIBELLER,,5,5,5,,,7,1,4,12,1,-,12,1,67%,58%,15,-,1,7,47%,-,DENTIL/PRAIA CLUBE
397,MICHELLE PAVAO,,*,,*,,,-,-,-,5,-,-,-,-,.,.,-,-,-,-,.,-,DENTIL/PRAIA CLUBE
397,NICOLE  FAWCETT,,4,4,4,,,8,-,3,8,2,-,1,-,0%,0%,18,1,2,5,28%,3,DENTIL/PRAIA CLUBE
397,LAIS  VASQUEZ,,*,*,*,,,-,-,-,1,-,-,3,-,33%,33%,1,-,-,-,0%,-,DENTIL/PRAIA CLUBE
397,FRANCYNNE  JACINTHO,,,,*,,,1,1,1,1,-,1,-,-,.,.,1,-,-,-,0%,-,DENTIL/PRAIA CLUBE
397,ANANDA  MARINHO,,*,,,,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-,DENTIL/PRAIA CLUBE
397,ANA CAROLINA SILVA ,,3,3,3,,,10,5,7,7,2,-,-,-,.,.,8,-,1,5,63%,5,DENTIL/PRAIA CLUBE
397,FERNANDA  GARAY,,2,2,,,,9,7,9,9,-,1,9,-,78%,44%,13,-,-,8,62%,-,DENTIL/PRAIA CLUBE
397,SUELEN  PINTO (L),,*,*,*,,,-,-,-1,-,-,-,10,1,80%,30%,-,-,-,-,.,-,DENTIL/PRAIA CLUBE
398,ALESSANDRA SANTOS,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,ANGELICA MALINVERNO,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,DANIELA TERRA (L),0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,DIANA MAXIMILIANO  DIANA,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,EDUARDA MACEDO,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,EDUARDA SILVA EDUARDA (L),0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,EMILCE SOSA EMILCE,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,FERNANDA CAMPOS FERNANDA,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,GABRIELLE LIMA,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,MARIANA BARRETO,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,NATÁLIA FERNANDES SILVA,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,NATÁLIA SILVA,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,RENATA COLOMBO,0,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,BRB/BRASILIA VOLEI
398,BRUNA  COSTA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,BRUNA  COSTA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,BRUNA  HONORIO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,CAROLINE  GATTAZ,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,GABRIELA GUIMARAES,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,GEORGIA CATTANI (L),,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,LANA  CONCEIÇÃO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,LEIA  SILVA (L),,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,MACRIS  CARNEIRO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,MARA  LEÃO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,MARIA LUISA DE OIVEIRA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,MAYANY  SOUZA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
398,NATÁLIA ZILIO PEREIRA,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,MINAS TENIS CLUBE
399,GABRIELA  PONTES,1,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,DAYANA SEGOVIA,3,3,4,6,4,,15,4,8,11,4,-,-,-,.,.,29,2,1,15,52%,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,KARINA  BARBOSA,4,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,FERNANDA ISIS DA SILVA,6,2,3,5,3,,11,5,4,15,3,-,1,1,0%,0%,17,2,1,7,41%,4,SAO CRISTOVAO SAUDE SAO CAETANO
399,FERNANDA TOMÉ,8,1,2,4,2,,14,7,3,15,2,1,40,2,70%,55%,42,3,4,11,26%,2,SAO CRISTOVAO SAUDE SAO CAETANO
399,FLAVIA ASSIS,9,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,DAYSE FIGUEIREDO,10,5,6,2,6,,7,2,5,16,1,1,-,-,.,.,13,-,1,5,38%,1,SAO CRISTOVAO SAUDE SAO CAETANO
399,ANDRESSA KRACHEFSKI (L),11,*,*,*,*,,-,-,-1,-,-,-,17,1,59%,47%,-,-,-,-,.,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,ANA FLAVIA GALVÃO,13,*,,*,,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,SONALY   CIDRÃO ,14,4,5,1,5,,10,1,6,11,1,-,26,1,58%,31%,26,1,1,10,38%,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,MARIA ALEJANDRA VERHELEST,15,6,1,3,1,,2,2,2,16,-,2,1,-,100%,0%,1,-,-,-,0%,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,PAULINA  DE SOUZA,17,*,,*,*,,-,-,-,2,-,-,5,-,60%,60%,-,-,-,-,.,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,KISY  CESARIO,19,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,MARIA EDUARDA OLIVEIRA,20,*,*,*,*,,2,-,2,-,-,-,-,-,.,.,6,-,-,2,33%,-,SAO CRISTOVAO SAUDE SAO CAETANO
399,WALEWSKA  OLIVEIRA,,3,2,3,2,,18,6,13,23,3,2,1,-,100%,100%,22,1,1,13,59%,3,OSASCO VOLEIBOL CLUBE/AUDAX
399,CAROLINA ALBUQUERQUE,,*,,*,,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-,OSASCO VOLEIBOL CLUBE/AUDAX
399,PAULA PEQUENO,,,*,,,,1,1,1,1,-,-,-,-,.,.,2,-,-,1,50%,-,OSASCO VOLEIBOL CLUBE/AUDAX
399,LEYVA ANGELA,,5,4,5,4,,21,9,14,11,1,-,26,2,42%,31%,38,1,3,20,53%,1,OSASCO VOLEIBOL CLUBE/AUDAX
399,ERICA  MOTA (L),,,,,*,,1,1,1,-,-,-,-,-,.,.,1,-,-,1,100%,-,OSASCO VOLEIBOL CLUBE/AUDAX
399,DOMINGAS  ARAUJO ,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,OSASCO VOLEIBOL CLUBE/AUDAX
399,CLAUDIA  BUENO,,1,6,1,6,,-,-,-2,17,2,-,-,-,.,.,-,-,-,-,.,-,OSASCO VOLEIBOL CLUBE/AUDAX
399,VIVIANE BRAUN,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,OSASCO VOLEIBOL CLUBE/AUDAX
399,LORENNE  TEIXEIRA,,*,,*,*,,-,-,-1,-,-,-,-,-,.,.,2,1,-,-,0%,-,OSASCO VOLEIBOL CLUBE/AUDAX
399,MARIANA COSTA,,2,1,2,1,,14,5,6,18,1,1,31,2,58%,35%,25,5,-,13,52%,-,OSASCO VOLEIBOL CLUBE/AUDAX
399,NATALIA MARTINS NATALIA,,,,,*,,1,1,1,3,-,-,1,-,100%,0%,1,-,-,1,100%,-,OSASCO VOLEIBOL CLUBE/AUDAX
399,NATASHA CRUZ,,6,5,6,5,,7,5,5,11,1,2,-,-,.,.,8,-,1,3,38%,2,OSASCO VOLEIBOL CLUBE/AUDAX
399,CAMILA  BRAIT (L),,*,*,*,*,,-,-,-,-,-,-,17,-,71%,53%,-,-,-,-,.,-,OSASCO VOLEIBOL CLUBE/AUDAX
399,HOOKER DESTINY,,4,3,4,3,,15,7,8,13,-,1,-,-,.,.,34,5,2,13,38%,1,OSASCO VOLEIBOL CLUBE/AUDAX
402,CLAUDINO FABIANA,1,6,2,6,1,6,9,2,5,11,2,-,-,-,.,.,17,2,-,6,35%,3,DENTIL/PRAIA CLUBE
402,LLOYD CARLI ELLEN,3,1,3,,,*,1,1,1,7,-,1,-,-,.,.,2,-,-,-,0%,-,DENTIL/PRAIA CLUBE
402,ELLEN  BRAGA,7,*,*,,,,4,1,3,2,-,-,2,-,100%,50%,5,-,1,3,60%,1,DENTIL/PRAIA CLUBE
402,BORGO PAULA,8,*,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,DENTIL/PRAIA CLUBE
402,ROSAMARIA MONTIBELLER,9,5,,,,*,2,-,-,1,-,-,5,-,40%,20%,6,1,1,2,33%,-,DENTIL/PRAIA CLUBE
402,MICHELLE PAVAO,10,*,1,5,6,5,12,8,11,9,-,-,30,1,50%,37%,22,-,-,10,45%,2,DENTIL/PRAIA CLUBE
402,NICOLE  FAWCETT,11,4,6,4,5,4,22,13,15,15,2,2,-,-,.,.,44,2,3,17,39%,3,DENTIL/PRAIA CLUBE
402,LAIS  VASQUEZ,12,,,,,*,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-,DENTIL/PRAIA CLUBE
402,FRANCYNNE  JACINTHO,13,,*,3,4,3,11,5,10,16,1,1,-,-,.,.,13,-,-,7,54%,3,DENTIL/PRAIA CLUBE
402,ANANDA  MARINHO,14,*,*,1,2,1,2,2,2,22,-,2,-,-,.,.,-,-,-,-,.,-,DENTIL/PRAIA CLUBE
402,ANA CAROLINA SILVA ,15,3,5,,,,-,-,-2,3,1,-,1,-,0%,0%,3,1,-,-,0%,-,DENTIL/PRAIA CLUBE
402,FERNANDA  GARAY,16,2,4,2,3,2,16,6,7,19,-,1,23,1,48%,35%,42,5,3,14,33%,1,DENTIL/PRAIA CLUBE
402,SUELEN  PINTO (L),17,*,*,*,*,*,-,-,-1,-,-,-,24,1,42%,29%,-,-,-,-,.,-,DENTIL/PRAIA CLUBE
402,BRUNA CAIXETA COSTA,20,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,DENTIL/PRAIA CLUBE
402,ELIS BENTO,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,CURITIBA VÔLEI
402,TALIA  COSTA,,,*,*,,*,-,-,-2,4,1,-,4,-,0%,0%,2,1,-,-,0%,-,CURITIBA VÔLEI
402,MARIANA  AQUINO,,3,3,3,3,2,7,3,3,15,-,-,-,-,.,.,18,2,2,7,39%,-,CURITIBA VÔLEI
402,ANA  CAMARGO (L),,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,CURITIBA VÔLEI
402,ANA CRISTINA VILELA PORTO ,,1,1,1,1,6,1,1,-,24,1,1,-,-,.,.,1,-,-,-,0%,-,CURITIBA VÔLEI
402,VALESKA  MENEZES,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,CURITIBA VÔLEI
402,ALINE WIME SIQUEIRA,,,,*,,*,2,-,1,3,-,-,1,1,0%,0%,5,-,-,2,40%,-,CURITIBA VÔLEI
402,VIVIANE  GOES,,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,CURITIBA VÔLEI
402,LASCANO JULIETA,,6,6,6,6,5,8,2,1,12,2,-,-,-,.,.,17,3,2,7,41%,1,CURITIBA VÔLEI
402,SABRINA  MACHADO,,4,4,4,4,3,27,13,14,10,4,-,-,-,.,.,51,4,5,22,43%,5,CURITIBA VÔLEI
402,MARIANA GALON,,,,*,,*,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-,CURITIBA VÔLEI
402,PRISCILA SOUZA,,2,2,2,2,1,22,8,14,16,-,2,32,4,44%,16%,43,3,1,18,42%,2,CURITIBA VÔLEI
402,ISABELA PAQUIARDI,,5,5,5,5,4,7,1,1,8,-,-,33,1,48%,15%,28,2,3,7,25%,-,CURITIBA VÔLEI
402,JULIANA PAES JULIANA (L),,*,*,*,*,*,-,-,-1,-,-,-,30,1,53%,30%,-,-,-,-,.,-,CURITIBA VÔLEI
403,MILKA MARCILIA ,1,6,5,5,5,,10,3,7,12,2,-,1,-,0%,0%,16,1,-,8,50%,2,HINODE BARUERI
403,NATALIA ARAUJO  (L),2,*,*,*,*,,-,-,-1,-,-,-,13,1,92%,69%,-,-,-,-,.,-,HINODE BARUERI
403,DANIELLE LINS ,3,1,6,6,6,,2,2,1,12,-,-,-,-,.,.,3,1,-,-,0%,2,HINODE BARUERI
403,MAIRA  CIPRIANO CLARO ,4,2,1,1,1,,6,2,-2,12,3,-,12,1,67%,50%,24,1,3,6,25%,-,HINODE BARUERI
403,JACKELINE  SANTOS,5,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,HINODE BARUERI
403,THAISA  DAHER DE MENEZES,6,3,,,,,4,2,4,3,-,1,-,-,.,.,3,-,-,2,67%,1,HINODE BARUERI
403,LAYS  FREITAS,7,,,,,,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-,HINODE BARUERI
403,VIVIAN  PELLEGRINO,9,*,2,2,2,,6,3,3,18,3,2,-,-,.,.,4,-,-,3,75%,1,HINODE BARUERI
403,TAINARA SANTOS ,10,,*,,*,,1,-,-,-,-,-,2,-,50%,50%,3,-,1,1,33%,-,HINODE BARUERI
403,AMANDA  FRANCISCO,13,5,4,4,4,,9,4,7,15,-,1,42,1,71%,52%,17,1,-,8,47%,-,HINODE BARUERI
403,SARA SILVA,14,*,*,*,*,,1,-,-,3,1,-,-,-,.,.,4,-,-,1,25%,-,HINODE BARUERI
403,JUMA   SILVA,16,*,*,*,*,,-,-,-1,3,-,-,-,-,.,.,2,-,1,-,0%,-,HINODE BARUERI
403,KATARZYNA SKOWRONSKA,17,4,3,3,3,,28,10,18,14,1,1,-,-,.,.,47,5,4,26,55%,1,HINODE BARUERI
403,ELINA RODRIGUEZ,19,,,*,,,-,-,-2,1,-,-,4,2,25%,0%,-,-,-,-,.,-,HINODE BARUERI
403,ROBERTA SILVA ROBERTA,,5,1,2,5,,8,4,-,12,3,1,-,-,.,.,15,5,-,5,33%,2,ESPORTE CLUBE PINHEIROS
403,FRANCINE TOMAZONI,,,*,,*,,-,-,-,1,-,-,-,-,.,.,-,-,-,-,.,-,ESPORTE CLUBE PINHEIROS
